Date,Affected pages
2026-01-03,5
2026-01-04,120
2026-01-05,120
2026-01-06,120
2026-01-07,230
2026-01-08,230
2026-01-09,230
2026-01-10,230
2026-01-11,322
2026-01-12,322
2026-01-13,322
2026-01-14,6805
2026-01-15,6805
2026-01-16,6805
2026-01-17,6805
2026-01-18,13948
2026-01-19,13948
2026-01-20,13948
2026-01-21,13828
2026-01-22,13828
2026-01-23,13828
2026-01-24,13828
2026-01-25,13827
2026-01-26,13827
2026-01-27,13827
