Reason,Source,Validation,Pages
Not found (404),Website,Failed,46
Crawled - currently not indexed,Google systems,Failed,5
Page with redirect,Website,Not Started,61
"Duplicate, Google chose different canonical than user",Google systems,Not Started,1679
Excluded by ‘noindex’ tag,Website,Started,27
Discovered – currently not indexed,Google systems,Started,13827
Redirect error,Website,Passed,0
