Date,Clicks,Impressions,CTR,Position
2026-01-18,2,3143,0.06%,23.9
2026-01-19,7,4821,0.15%,21.9
2026-01-20,7,5573,0.13%,21.2
2026-01-21,12,5414,0.22%,23.3
2026-01-22,8,5644,0.14%,18.3
2026-01-23,4,4549,0.09%,19.5
2026-01-24,3,5210,0.06%,16.6
